File_Path,SHA256,SSDeep,Cluster_Label,Threshold
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.DelShad.icm-08565f345878369fdbbcf4a064d9f4762f4549f67d1e2aa3907a112a5e5322b6,08565f345878369fdbbcf4a064d9f4762f4549f67d1e2aa3907a112a5e5322b6,24576:c11WFtJVA0ifeGMmUS+gKG1IWs5dQDePjf/kWzO:c11kCwGZUqyWWdwGj0WzO,8818,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Trojan-Banker.Win32.Banbra.gen-521fbefb247706537f3b0f629c3e832db3a926d7fe47337d14d13e9cdc77e26f,521fbefb247706537f3b0f629c3e832db3a926d7fe47337d14d13e9cdc77e26f,49152:Mt7c1xrCfWhmLH3R+Yl9BdsdwdvXj+OFvayZES7Eyavr6yoeH59oCFgdusSwj67i:Q7c1lFuyow9PBsS0YtFQPOBGT,8819,50
/usr/src/app/datacopy/evasive-it/2022/VHO-Trojan.Win32.Llac.gen-741280ecfc868faa37e9deafa2d6359cc08390e36a5eb37853669045befc068b,741280ecfc868faa37e9deafa2d6359cc08390e36a5eb37853669045befc068b,6144:W16GTVLQjV+kV1FiCMMuYSnuHXED7O67xhdMSbVl8gGk5RXuYIcetFbI9bDBm:WNPW1ICMv0UDjhNV2A5Urw9vB,8820,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Backdoor.Win32.Generic-c1805c2e5c5236abf7dfa8c1edb4306e5d0eb518688aba5f2a1c74bd4db53454,c1805c2e5c5236abf7dfa8c1edb4306e5d0eb518688aba5f2a1c74bd4db53454,49152:mmV2AprmV2ApkmV2AprmV2ApkmV2AprmV2Ap8:mm/mIm/mIm/mQ,3,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Trojan-Banker.Win32.BestaFera.gen-45db4c82c37ba696b660fc631dbb43d7995dbdc1f53ed996c4d6f52ac48f9260,45db4c82c37ba696b660fc631dbb43d7995dbdc1f53ed996c4d6f52ac48f9260,49152:hW5FwuDIhQSCWefNSYPMRltuTRH7FK5DJFkrufYNoH4lo2NBuGSGd7P3ndzjmv3r:hW5HRNShruTEDMNoH4lo2NsGSGdrmw,8821,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Llac.lgnr-15758e91ed9bbead48c23b487dc945343532b898a6bb0639160850df4e8c4817,15758e91ed9bbead48c23b487dc945343532b898a6bb0639160850df4e8c4817,6144:4mcD66RRjl5JGmrpQsK3RD2u270jupCJsCxC:RcD663gZ2zkPaCx,4,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Backdoor.Win32.NanoBot.gen-849f756ee5076252ba750b24e90539bf4051e481bf7c4048faf7647c4ae8fb49,849f756ee5076252ba750b24e90539bf4051e481bf7c4048faf7647c4ae8fb49,49152:5ERFseFUhssBcNqkLi5ek5BhgCwOOhv/NFDNI9VdP7scvZjgY0xD5Pi5O4Ni8LjW:SR1FUhssBWqoqP9nVjq8cl,8822,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Trojan.Win32.Wofith.gen-7c8f444757a013aa7fd3578a16842d19e7e9d7828aa47c3ce2032ee58cd4b8c4,7c8f444757a013aa7fd3578a16842d19e7e9d7828aa47c3ce2032ee58cd4b8c4,196608:rhHMBGC3PtXtT+Was8kwq1wo9JoYx5JAMdJOnZTG1IvQSaKe6NZOn:r2G0lwuwasMdJOnZKVSaaNZOn,5,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Bsymem.aggq-ecf763f4bacb053f371a3c84421af642694013c2a3ed2a451c8269b1ab2d71ca,ecf763f4bacb053f371a3c84421af642694013c2a3ed2a451c8269b1ab2d71ca,24576:3DaZLRX5ojPBB/D5HeV97FjAqDq2rTNXc4iDb+etf6JIpUHDpAqIoXUOry:OZFmNu5lD7s4iX+ewqaqqIoI,8823,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Trojan-Banker.Win32.BestaFera.gen-45eae3fcfc0e6f6808356f2f15a52bb550d003c45000c25d0bb83c9c62f61e2d,45eae3fcfc0e6f6808356f2f15a52bb550d003c45000c25d0bb83c9c62f61e2d,49152:qouc1m/gsjYS5fvilF4ZZvbvH51sLJJPkfMAzsbGAf9c5KsYpcIZjpfcBB39nVbi:q9xZvbOkfH5KsWcL9nVYlt7,8824,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Worm.Win32.Pluto.gen-8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,8b86e05a29d3f5baf4e579364eb42f96746366bd1fab0435272f6b619be880d1,6144:BbDIRKm5uIfz/NJijkKSxvXyIvc18zOGpqhFz8MXNsIk7F/Oyxp:BbkUm5uJjDSx5c16pqrfCLp,6,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Mansabo.hjw-ece9002cab1e69b20645b228079c766186f5d151e55381d9232674ef352379ba,ece9002cab1e69b20645b228079c766186f5d151e55381d9232674ef352379ba,196608:/UYaolX+aFFLlPKQ8hY/RkQWslX4ge+mQ8rr:sYaolrFFEHYu3sSgehQ0r,8825,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Backdoor.Win32.Generic-8e211ef695e239739de1bc3c76f88c6e91141cd9379a82b97a6d2d3aee017175,8e211ef695e239739de1bc3c76f88c6e91141cd9379a82b97a6d2d3aee017175,6144:K3EmWPDNND9yRPzLq+YXFqaZiMLic9kzVd7EAC4TSs9Ei:VmWhND9yJz+b1FcMLmp2ATTSsd,3,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Bublik.aeld-736c814b6d4979459e0e30e6c460e57902fa98f0f784afdfcccdf000e69c01f1,736c814b6d4979459e0e30e6c460e57902fa98f0f784afdfcccdf000e69c01f1,12288:BuMw+Bi8vvrHxVPKyv2m77sZB07FxObO325:BHwn8vrx52t07FQaU,1,50
/usr/src/app/datacopy/evasive-it/2022/UDS-Trojan.Win32.GenericML.xnet-55bf285d697da311fefa96a7f1a12e22bb68452838b450fec3d6f8a2e47110f0,55bf285d697da311fefa96a7f1a12e22bb68452838b450fec3d6f8a2e47110f0,24576:w3fwqM2k0E28jMrGz+mDd5ryVppZZa0tiU4w:+fwqMDj/z+yAtZa0ti5w,8826,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Wofith.agu-c4692372e62ead639ec700883b4da4805809612a4d0c40dfca59c4854447ced0,c4692372e62ead639ec700883b4da4805809612a4d0c40dfca59c4854447ced0,196608:rhHMBGC3PtXtT+Was8kwq1wo9JoYx5JAMdJOnZTG1IvQSaKe6NZOn:r2G0lwuwasMdJOnZKVSaaNZOn,5,50
/usr/src/app/datacopy/evasive-it/2022/HEUR-Backdoor.Win32.Crypminal.gen-4bf9325fe8d721e60c2a5beee8dbdf275ab9c5de309e162ecc81d1cdf7369cef,4bf9325fe8d721e60c2a5beee8dbdf275ab9c5de309e162ecc81d1cdf7369cef,49152:Vj+ZZZUg7yM9m2OM4KJR3ixSyTgFM93+RFkkZmqSqe4fxv8btI9zrue9IK3bxzl4:Vj+ZZRyz2OMSz,8827,50
/usr/src/app/datacopy/evasive-it/2022/Trojan.Win32.Bublik.elhu-0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,0cbefd9fa36902937cb5e57f8b7fb1a476498c6dd4fc0fcdee2bfbba5b0e9bce,6144:/OpslFlqmhdBCkWYxuukP1pjSKSNVkq/MVJbK:/wslDTBd47GLRMTbK,7,50
/usr/src/app/datacopy/evasive-it/2019/79a07ef9978561a4403c0c7de656fa4276b9b51261ed68b063bee33e9617a7cc,79a07ef9978561a4403c0c7de656fa4276b9b51261ed68b063bee33e9617a7cc,6144:vk4qmlWihPWQ6MMBcAD9OokZD5dG629wv/hTA+n8gfBgIU9X6b9pP2VVNQqt:c929WQBMBJ3s3FvJygf+IU9XoOxQqt,8828,50
/usr/src/app/datacopy/evasive-it/2019/4680b729788986872608aa10ba00f75bcee18ba81cbf6c79845652014bc8383a,4680b729788986872608aa10ba00f75bcee18ba81cbf6c79845652014bc8383a,24576:qwVSW+9JMze635q2G8fzBK7/LHHmEMayuc5m:qwVJ+9JMKC5qL8V+/Sfayj0,8829,50
/usr/src/app/datacopy/evasive-it/2019/2b337550dbcc817d4d71433cb2179657d99f90045d1ce0b6bcdac7e38f82faee,2b337550dbcc817d4d71433cb2179657d99f90045d1ce0b6bcdac7e38f82faee,6144:BbDIRKm5uIfz/NJijkKSxvXyIvc18zOGpqhFz8MXNsIk7F/OybgXC:BbkUm5uJjDSx5c16pqrfCJ,6,50
