,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
35,da5d7bf348f562ba29187a1ca8680852afda25dd.bin,4,1476,datacopy/UCSB/da5d7bf348f562ba29187a1ca8680852afda25dd.bin,9
36,dafa49e25aed95446fca70cd4c218471ac20edf8.bin,4,1476,datacopy/UCSB/dafa49e25aed95446fca70cd4c218471ac20edf8.bin,9
37,3a2f08a1e0b634c4e0aab4b4f006aaaaa07e057a.bin,4,406,datacopy/UCSB/3a2f08a1e0b634c4e0aab4b4f006aaaaa07e057a.bin,9
38,42db0da29c71945fd3ca213e9ad2ed70c11c69ba.bin,4,406,datacopy/UCSB/42db0da29c71945fd3ca213e9ad2ed70c11c69ba.bin,9
39,b610ba4243fc941bce383b2175931a47857938160b52d979ba4e5c3a526053e9,5,715,datacopy/Stefano/b610ba4243fc941bce383b2175931a47857938160b52d979ba4e5c3a526053e9,1
40,b4b4c711d16acf9411e2736d49db40287cb0247ecc779e22fb4436b59a66448a,5,715,datacopy/Stefano/b4b4c711d16acf9411e2736d49db40287cb0247ecc779e22fb4436b59a66448a,1
41,885715aa5186f9a28bd95ac5b94580b44f21b530.bin,7,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/8/5/885715aa5186f9a28bd95ac5b94580b44f21b530.bin,3
42,8aa10c692b2fdd29d545cb3a0e58162dd0fcefaa.bin,7,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/a/a/8aa10c692b2fdd29d545cb3a0e58162dd0fcefaa.bin,3
43,ab9b8afdf42f06674621b4e2f20c532f42b014c9.bin,7,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/9/ab9b8afdf42f06674621b4e2f20c532f42b014c9.bin,3
44,e8f2079e3ca0cd77d5659f3dc4ab040abcf8f6ce.bin,7,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/8/f/e8f2079e3ca0cd77d5659f3dc4ab040abcf8f6ce.bin,3
45,2830c2ab3e61acf7771a25889aa839c7eb85fbe7.bin,7,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/2/8/3/2830c2ab3e61acf7771a25889aa839c7eb85fbe7.bin,3
46,5b9ad5f7e2b96c1cc26014b37f499d3bdba34422.bin,7,1513,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/5/b/9/5b9ad5f7e2b96c1cc26014b37f499d3bdba34422.bin,3
47,4cb02f6f0144bcc7c534e729d7df760cc3eefb21.bin,7,1532,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/4/c/b/4cb02f6f0144bcc7c534e729d7df760cc3eefb21.bin,3
48,8e6a001557ae4d090725c76a2b03487c5c6dabd4.bin,9,1986,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/8/e/6/8e6a001557ae4d090725c76a2b03487c5c6dabd4.bin,3
49,3952982e2de596d83c3dc7ed971ac59f0e2416f4.bin,9,1986,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/3/9/5/3952982e2de596d83c3dc7ed971ac59f0e2416f4.bin,3
