,File_Name,Cluster_Label_A,Cluster_Label_B,File_Path,best_k_value
26,ab39766f19f37531af488088276de2c039e18e46.bin,7,341,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/3/ab39766f19f37531af488088276de2c039e18e46.bin,"[2, 1, 1, 7]"
27,ab29de4aab6c38f041ab0ecfad507b5168de1bbd.bin,7,284,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/2/ab29de4aab6c38f041ab0ecfad507b5168de1bbd.bin,"[2, 1, 1, 7]"
28,ab5e0dd5e76045b6eedb745ac4f4368fc7153436.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/5/ab5e0dd5e76045b6eedb745ac4f4368fc7153436.bin,"[2, 1, 1, 7]"
29,ab6b5feeedc50ee8f93674fe508a984b0490cda2.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/b/6/ab6b5feeedc50ee8f93674fe508a984b0490cda2.bin,"[2, 1, 1, 7]"
30,a11a960cf70335331d14299a3a62c3c3f97ecd2e.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/1/1/a11a960cf70335331d14299a3a62c3c3f97ecd2e.bin,"[2, 1, 1, 7]"
31,af46274c882a06a95f7584ca8c0ee23c989e24a3.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/f/4/af46274c882a06a95f7584ca8c0ee23c989e24a3.bin,"[2, 1, 1, 7]"
32,af07ad9d8a9dee4b2cf409b0acb4483bac1599e2.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/f/0/af07ad9d8a9dee4b2cf409b0acb4483bac1599e2.bin,"[2, 1, 1, 7]"
33,a0478bd4e126d13c1f122417b04a67e79f1bcdef.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/0/4/a0478bd4e126d13c1f122417b04a67e79f1bcdef.bin,"[2, 1, 1, 7]"
34,a62b7de2e57e3e69c067878fe58a331b5390916b.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/6/2/a62b7de2e57e3e69c067878fe58a331b5390916b.bin,"[2, 1, 1, 7]"
35,a66e76b45fb21ec01a39e9ac196121c49ddc85bb.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/6/6/a66e76b45fb21ec01a39e9ac196121c49ddc85bb.bin,"[2, 1, 1, 7]"
36,a7ab1801505b89e5664b74dd13ce1d4f06ebef94.bin,7,1524,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/7/a/a7ab1801505b89e5664b74dd13ce1d4f06ebef94.bin,"[2, 1, 1, 7]"
37,a702eb0929ee3a326c18947337a9fc142b0956b2.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/a/7/0/a702eb0929ee3a326c18947337a9fc142b0956b2.bin,"[2, 1, 1, 7]"
38,eea70ec2633ea56e393f85465a435e1d4eee906f.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/a/eea70ec2633ea56e393f85465a435e1d4eee906f.bin,"[2, 1, 1, 7]"
39,eeb53848b1583dd181d75317e0cf2fa27426422a.bin,7,1944,datacopy/UCSB.JP/data_feed.geo_japan_6m_public_flag/e/e/b/eeb53848b1583dd181d75317e0cf2fa27426422a.bin,"[2, 1, 1, 7]"
